Institution,University,UNITID
NAU,Bowling Green State University-Main Campus,201441
ASU,Florida State University,134097
NAU,George Mason University,232186
NAU,Georgia State University,139940
ASU,Indiana University-Bloomington,151351
NAU,Kent State University-Kent Campus,203517
UA,Michigan State University,171100
ASU,Michigan State University,171100
NAU,Northern Illinois University,147703
UA,Ohio State University-Main Campus,204796
ASU,Ohio State University-Main Campus,204796
NAU,Ohio University-Main Campus,204857
NAU,Old Dominion University,232982
ASU,Pennsylvania State University- Main Campus,479956
UA,Pennsylvania State University-Main Campus,479956
ASU,Rutgers University-New Brunswick,186380
NAU,Southern Illinois University Carbondale,149222
UA,Texas A & M University,228723
NAU,The University of Alabama,100663
UA,The University of Texas at Austin,228778
ASU,The University of Texas at Austin,228778
NAU,University of Akron Main Campus,200800
UA,University of California-Davis,110644
UA,University of California-Los Angeles,110662
ASU,University of California-Los Angeles,110662
ASU,University of Connecticut,129020
UA,University of Florida,134130
UA,University of Illinois at Urbana-Champaign,145637
ASU,University of Illinois at Urbana-Champaign,145637
UA,University of Iowa,153658
ASU,University of Iowa,153658
NAU,University of Maine,161253
UA,University of Maryland-College Park,163286
ASU,University of Maryland-College Park,163286
UA,University of Minnesota-Twin Cities,174066
ASU,University of Minnesota-Twin Cities,174066
NAU,University of Nevada-Las Vegas,182281
UA,University of North Carolina at Chapel Hill,199120
NAU,University of North Carolina at Greensboro,199148
ASU,University of Washington- Seattle Campus,236948
UA,University of Washington-Seattle Campus,236948
UA,University of Wisconsin-Madison,240444
ASU,University of Wisconsin-Madison,240444
NAU,Western Michigan University,172699
NAU,Wichita State University,156125
